,movie_id,first_score,last_score
362,785488,-1.0,1.0
363,11493672,-1.0,-1.0
364,30714098,1.0,0.0
365,6215073,-1.0,1.0
366,21099183,1.0,0.0
367,484102,-1.0,0.0
368,4415958,1.0,1.0
369,9307052,-1.0,1.0
370,17489502,-1.0,-1.0
371,101523,-1.0,1.0
372,25223887,0.0,0.0
373,12152908,0.0,-1.0
374,14060163,1.0,1.0
375,1697309,1.0,-1.0
376,10014126,1.0,-1.0
377,25489908,0.0,1.0
378,20627774,1.0,1.0
379,35316287,-1.0,1.0
380,14840073,0.0,1.0
381,10395114,0.0,0.0
382,6788669,1.0,1.0
383,23805662,0.0,1.0
384,32715601,0.0,1.0
385,12494128,1.0,-1.0
386,9214302,-1.0,1.0
387,35131808,0.0,-1.0
388,17758086,-1.0,-1.0
389,31805047,-1.0,-1.0
390,1862086,0.0,0.0
391,42861,0.0,0.0
392,23057797,1.0,0.0
393,6902699,-1.0,1.0
394,5965800,-1.0,1.0
395,3410910,1.0,0.0
396,8454631,-1.0,-1.0
397,35030681,0.0,1.0
398,6551508,-1.0,0.0
399,4707517,0.0,0.0
400,21674541,0.0,-1.0
401,2870583,1.0,0.0
402,22541211,-1.0,-1.0
403,8955193,-1.0,1.0
404,23268277,1.0,1.0
405,19896950,0.0,0.0
406,26340503,-1.0,-1.0
407,4372744,1.0,0.0
408,1261355,1.0,0.0
409,12599417,0.0,0.0
410,7192710,1.0,1.0
411,24355979,0.0,1.0
412,1376896,1.0,0.0
413,11419319,0.0,0.0
414,21682038,1.0,1.0
415,33383946,-1.0,0.0
416,161450,-1.0,0.0
417,23566477,-1.0,0.0
418,31832848,0.0,1.0
419,4370892,-1.0,1.0
420,22834804,1.0,0.0
421,19282000,1.0,1.0
422,34985021,-1.0,-1.0
423,1595987,-1.0,1.0
424,23899512,1.0,1.0
425,3036635,1.0,1.0
426,24898518,-1.0,-1.0
427,34431042,0.0,1.0
428,5549799,1.0,0.0
429,228355,-1.0,1.0
430,8773488,0.0,1.0
431,645071,1.0,-1.0
432,11192132,1.0,-1.0
433,13005847,1.0,-1.0
434,18520285,-1.0,1.0
435,1740764,1.0,0.0
436,35586499,-1.0,0.0
437,26350638,0.0,-1.0
438,32496356,-1.0,-1.0
439,3790121,0.0,1.0
440,33059077,1.0,1.0
441,1266819,1.0,0.0
442,3615688,1.0,0.0
443,31677943,1.0,0.0
444,33329567,1.0,0.0
445,3564596,-1.0,1.0
446,25576998,1.0,1.0
447,10552882,0.0,1.0
448,23945123,-1.0,-1.0
449,23438736,1.0,0.0
450,12576808,-1.0,1.0
451,3067907,1.0,-1.0
452,1906889,-1.0,1.0
453,35014366,0.0,0.0
